Path,File,E_Tot,E_Ref,E_Corr,E_SS,E_OS
./opt-HBIL-structures/srs-mp2-EtMeNH2/,EtMeNH2-TFA-p1-opt-all.out,[H],-697.9282275468118542,-2.2882518364400153,-0.5793624511014249,-1.7088893853323130
./opt-HBIL-structures/srs-mp2-EtMeNH2/,EtMeNH2-NO3-p1-opt-all.out,[H],-452.9165750141150397,-1.6848677647160770,-0.4202089752643960,-1.2646587894508952
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-mSO3-p1-opt-frag0.out,[H],-134.6688954565442202,-0.5722843069271121,-0.1232357230531419,-0.4490485838739376
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-mSO3-p1-opt-frag1.out,[H],-661.8564085561545198,-1.0892350296835966,-0.2849319647391095,-0.8043030649444286
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-Cl-p1-opt-frag1.out,[H],-459.5646668064171649,-0.1969193331896175,-0.0493668449821789,-0.1475524882074386
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-mOSO3-p1-opt-frag0.out,[H],-134.6698613609956396,-0.5719826472060919,-0.1230775174974468,-0.4489051297086157
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-mOSO3-p1-opt-all.out,[H],-871.5913264573719061,-1.9115905192092122,-0.4794541657569235,-1.4321363534520311
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-CF3SO3-p1-opt-frag1.out,[H],-958.5553006663009228,-1.8076829329208151,-0.4893071919126268,-1.3183757410080323
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-Cl-p1-opt-all.out,[H],-594.4174613385132488,-0.7849382530976617,-0.1795068374112955,-0.6054314156848566
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-CF3SO3-p1-opt-all.out,[H],-1093.3880254403611616,-2.3955314732383020,-0.6198440014327385,-1.7756874718053970
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-Cl-p1-opt-frag0.out,[H],-134.6681394816732222,-0.5724784366908621,-0.1232050063806651,-0.4492734303101719
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-mOSO3-p1-opt-frag1.out,[H],-736.7499899170901472,-1.3213173446859636,-0.3477256549711326,-0.9735916897146056
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-mSO3-p1-opt-all.out,[H],-796.7069340450525488,-1.6778957690331551,-0.4161895883243018,-1.2617061807077870
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-CF3SO3-p1-opt-frag0.out,[H],-134.6707138462834052,-0.5717874033282067,-0.1230627318293398,-0.4487246714988358
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-NO3-p1-opt-all.out,[H],-413.8735681050585526,-1.5125160322812816,-0.3823298220021232,-1.1301862102785500
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-NO3-p1-opt-frag0.out,[H],-134.6675183274826395,-0.5726360987853486,-0.1232826713169990,-0.4493534274683169
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-NO3-p1-opt-frag1.out,[H],-279.0257193933701956,-0.9202988555576819,-0.2505326613604872,-0.6697661941967437
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-TFA-p1-opt-all.out,[H],-658.8863986277879121,-2.1138476872674179,-0.5405496367318879,-1.5732980505303624
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-TFA-p1-opt-frag0.out,[H],-134.6630800273321711,-0.5732692931252840,-0.1233750653174755,-0.4498942278077788
./opt-HBIL-structures/srs-mp2-EtNH3/,EtNH3-TFA-p1-opt-frag1.out,[H],-524.0336001045563989,-1.5255455599118497,-0.4098899643296220,-1.1156555955817333
./opt-HBIL-structures/srs-mp2-mim/,mim-Cl-p1-opt-all.out,[H],-724.0480719136186281,-1.2578592875396775,-0.3155627324524615,-0.9422965550870631
./opt-HBIL-structures/srs-mp2-mim/,mim-CF3SO3-p2-opt-frag0.out,[H],-264.3236085993524966,-1.0454509968850179,-0.2591112034845098,-0.7863397934001956
./opt-HBIL-structures/srs-mp2-mim/,mim-CF3SO3-p1-opt-all.out,[H],-1223.0120409214298434,-2.8646373409195292,-0.7539070164623665,-2.1107303244564442
./opt-HBIL-structures/srs-mp2-mim/,mim-CF3SO3-p1-opt-frag1.out,[H],-958.5565967039532325,-1.8077075544862073,-0.4892637464263723,-1.3184438080596939
./opt-HBIL-structures/srs-mp2-mim/,mim-CF3SO3-p2-opt-all.out,[H],-1223.0270501864374637,-2.8651498365718671,-0.7545193257386060,-2.1106305108325887
./opt-HBIL-structures/srs-mp2-mim/,mim-CF3SO3-p1-opt-frag0.out,[H],-264.3260854437347689,-1.0444490649079665,-0.2588391768677304,-0.7856098880398978
./opt-HBIL-structures/srs-mp2-mim/,mim-CF3SO3-p2-opt-frag1.out,[H],-958.5555535421449349,-1.8075150418418129,-0.4892566929890842,-1.3182583488525714
./opt-HBIL-structures/srs-mp2-mim/,mim-Cl-p2-opt-all.out,[H],-724.0387607070592821,-1.2490011141633304,-0.3118728617273453,-0.9371282524356150
./opt-HBIL-structures/srs-mp2-mim/,mim-Cl-p2-opt-frag0.out,[H],-264.3255331304701485,-1.0447611382913415,-0.2589022450979534,-0.7858588931930501
./opt-HBIL-structures/srs-mp2-mim/,mim-mSO3-p1-opt-all.out,[H],-926.3452615334006168,-2.1476428277117794,-0.5509471552122459,-1.5966956724986288
./opt-HBIL-structures/srs-mp2-mim/,mim-Cl-p2-opt-frag1.out,[H],-459.5646668064169944,-0.1969193331896150,-0.0493668449821779,-0.1475524882074370
./opt-HBIL-structures/srs-mp2-mim/,mim-mOSO3-p1-opt-frag0.out,[H],-264.3258932703326991,-1.0445606398521223,-0.2588519587408620,-0.7857086811109190
./opt-HBIL-structures/srs-mp2-mim/,mim-mOSO3-p1-opt-all.out,[H],-1001.2100374466725725,-2.3792341784999977,-0.6129544041134329,-1.7662797743861554
./opt-HBIL-structures/srs-mp2-mim/,mim-mOSO3-p1-opt-frag1.out,[H],-736.7510221012344118,-1.3219327501502653,-0.3479045814862756,-0.9740281686637586
./opt-HBIL-structures/srs-mp2-mim/,mim-mSO3-p1-opt-frag0.out,[H],-264.3191983859071001,-1.0465441757264629,-0.2594165424886460,-0.7871276332375163
./opt-HBIL-structures/srs-mp2-mim/,mim-mSO3-p1-opt-frag1.out,[H],-661.8563434164470891,-1.0889088874154886,-0.2848507613378370,-0.8040581260776016
./opt-HBIL-structures/srs-mp2-mim/,mim-mSO3-p2-opt-all.out,[H],-926.3328142275047412,-2.1443231110128127,-0.5490623042078033,-1.5952608068036824
./opt-HBIL-structures/srs-mp2-mim/,mim-Cl-p1-opt-frag0.out,[H],-264.3197254952091271,-1.0465551293519701,-0.2594796164145752,-0.7870755129370713
./opt-HBIL-structures/srs-mp2-mim/,mim-Cl-p1-opt-frag1.out,[H],-459.5646668064234177,-0.1969193331896215,-0.0493668449821803,-0.1475524882074412
./opt-HBIL-structures/srs-mp2-mim/,mim-mSO3-p2-opt-frag0.out,[H],-264.3260781002623503,-1.0444036930878038,-0.2587933063591741,-0.7856103867282994
